Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-138,2000,24,21,1785,19.8,1,2,3,1,0,0,2,0,2.7,2.7,3.2,5.9,30,66,110,0.05,0.10,0.15,0.05,0.15,0.14,0.16,0.30,0.14,0.30,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-239,1996,22,19,1639,18.2,4,3,7,4,0,0,1,0,4.6,4.6,2.7,7.3,12,25,84,0.22,0.16,0.38,0.22,0.38,0.26,0.15,0.40,0.26,0.40,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-023,1999,23,23,2066,23.0,0,0,0,0,0,0,6,1,0.1,0.1,1.3,1.4,17,128,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-166,1997,14,12,1095,12.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,36,1,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-344,1996,9,8,785,8.7,0,0,0,0,0,0,3,0,0.8,0.8,0.1,0.9,1,15,4,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,20-345,2002,4,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,8,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,a6c58494
7,Rayan Aït Nouri,fr FRA,DF,Wolves,21-276,2001,19,9,1009,11.2,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,42,73,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-326,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-233,1995,19,16,1541,17.1,0,1,1,0,0,0,2,0,1.0,1.0,0.2,1.2,19,78,8,0.00,0.06,0.06,0.00,0.06,0.06,0.01,0.07,0.06,0.07,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-019,1995,20,16,1423,15.8,0,0,0,0,0,0,1,0,1.0,1.0,0.3,1.4,19,110,20,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.09,0.06,0.09,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-111,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,5,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-332,1991,14,14,1154,12.8,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,12,107,22,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-099,2002,5,2,187,2.1,2,0,2,2,0,0,1,0,0.5,0.5,0.0,0.5,7,7,7,0.96,0.00,0.96,0.96,0.96,0.25,0.01,0.26,0.25,0.26,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-153,1998,25,22,1869,20.8,1,2,3,1,0,0,3,0,1.6,1.6,6.2,7.8,30,152,109,0.05,0.10,0.14,0.05,0.14,0.08,0.30,0.37,0.08,0.37,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-158,1992,25,25,2250,25.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-332,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-027,1994,24,24,1955,21.7,10,1,11,10,0,0,2,0,6.0,6.0,1.5,7.6,61,105,200,0.46,0.05,0.51,0.46,0.51,0.28,0.07,0.35,0.28,0.35,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-037,2000,19,6,716,8.0,5,0,5,5,0,0,0,0,3.2,3.2,1.1,4.4,22,21,51,0.63,0.00,0.63,0.63,0.63,0.41,0.14,0.55,0.41,0.55,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-078,1994,17,15,1365,15.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,18,62,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-282,1996,20,20,1747,19.4,1,0,1,1,0,0,5,0,1.3,1.3,0.4,1.7,5,51,5,0.05,0.00,0.05,0.05,0.05,0.07,0.02,0.09,0.07,0.09,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-123,2002,11,1,143,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,15,8,14,0.00,0.00,0.00,0.00,0.00,0.30,0.32,0.62,0.30,0.62,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-098,1999,20,7,859,9.5,3,0,3,3,0,0,1,0,1.5,1.5,0.6,2.1,23,38,50,0.31,0.00,0.31,0.31,0.31,0.16,0.06,0.22,0.16,0.22,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,32-346,1990,23,12,1129,12.5,3,2,5,3,0,0,2,0,3.4,3.4,1.1,4.5,26,20,75,0.24,0.16,0.40,0.24,0.40,0.27,0.09,0.36,0.27,0.36,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-013,2000,13,12,998,11.1,3,0,3,3,0,0,4,0,2.8,2.8,0.5,3.3,52,31,86,0.27,0.00,0.27,0.27,0.27,0.25,0.04,0.30,0.25,0.30,Matches,99127249
